event,arg,line,lasti,opcode,localObjects
opcode,,47,190,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,192,BINARY_SUBTRACT,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,194,BUILD_SLICE,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,196,BINARY_SUBSCR,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,198,CALL_FUNCTION,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,200,POP_TOP,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,202,JUMP_ABSOLUTE,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
line,,34,14,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,34,14,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,34,16,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
line,,35,18,LOAD_GLOBAL,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,18,LOAD_GLOBAL,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,20,LOAD_GLOBAL,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,22,LOAD_GLOBAL,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,24,CALL_FUNCTION,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,26,LOAD_METHOD,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,28,LOAD_CONST,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,30,CALL_METHOD,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,32,CALL_FUNCTION,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,34,UNPACK_SEQUENCE,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,36,STORE_FAST,"{""_t"": ""1"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,35,38,STORE_FAST,"{""_t"": ""1"", ""n"": ""3"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
line,,36,40,BUILD_LIST,"{""_t"": ""1"", ""n"": ""3"", ""k"": ""2"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,36,40,BUILD_LIST,"{""_t"": ""1"", ""n"": ""3"", ""k"": ""2"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,36,42,STORE_FAST,"{""_t"": ""1"", ""n"": ""3"", ""k"": ""2"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
line,,37,44,LOAD_FAST,"{""_t"": ""1"", ""n"": ""3"", ""k"": ""2"", ""result"": ""[]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
